Cleaning#DISFLUENCIES	Cleaning#DUPLICATES	Cleaning#FILLERS	KEY	SESSION_ORDER	TokenFiltering	TokenType	Tokenization	UtteranceFiltering	TEST_ITER	Training#ALL_NEG	Training#ONE_NEG	Training#SENTIMENT	TESTED_UTT_COUNT#ALL_NEG	TOKEN_COUNT#ALL_NEG	TOTAL_UTT_COUNT#ALL_NEG	TESTED_UTT_COUNT#ONE_NEG	TOKEN_COUNT#ONE_NEG	TOTAL_UTT_COUNT#ONE_NEG	TESTED_UTT_COUNT#SENTIMENT	TOKEN_COUNT#SENTIMENT	TOTAL_UTT_COUNT#SENTIMENT
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170411-1718-karey-tangram_Jutta/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	11.0	7.0	11.0	11	44	11	11	44	11	11	44	11
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170411-1718-karey-tangram_Jutta/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	11.0	9.0	11.0	11	44	11	11	44	11	11	44	11
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170411-1718-karey-tangram_Jutta/desc.properties	1	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	11.0	6.0	11.0	11	44	11	11	44	11	11	44	11
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1641-arvid-lutfisk/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	18.0	17.0	20.0	54	379	57	54	379	57	54	379	57
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1641-arvid-lutfisk/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	18.0	20.0	20.0	54	379	57	54	379	57	54	379	57
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1641-arvid-lutfisk/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	18.0	12.0	20.0	54	379	57	54	379	57	54	379	57
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1641-arvid-lutfisk/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	18.0	13.0	20.0	54	379	57	54	379	57	54	379	57
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1641-arvid-lutfisk/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	18.0	5.0	20.0	54	379	57	54	379	57	54	379	57
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1703-bobbo-Barbera Streusand/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	1.0	1.0	6.0	12	57	12	12	57	12	12	57	12
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1703-bobbo-Barbera Streusand/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	1.0	15.0	6.0	12	57	12	12	57	12	12	57	12
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1703-bobbo-Barbera Streusand/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	1.0	7.0	6.0	12	57	12	12	57	12	12	57	12
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1703-bobbo-Barbera Streusand/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	1.0	13.0	6.0	12	57	12	12	57	12	12	57	12
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170329-1703-bobbo-Barbera Streusand/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	1.0	7.0	6.0	12	57	12	12	57	12	12	57	12
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1343-Fil-sinc/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	2.0	6.0	7.0	11	38	11	11	38	11	11	38	11
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1343-Fil-sinc/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	2.0	3.0	7.0	11	38	11	11	38	11	11	38	11
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1343-Fil-sinc/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	2.0	2.0	7.0	11	38	11	11	38	11	11	38	11
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1343-Fil-sinc/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	2.0	2.0	7.0	11	38	11	11	38	11	11	38	11
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1343-Fil-sinc/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	2.0	10.0	7.0	11	38	11	11	38	11	11	38	11
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1413-Andreas-misho/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	13.0	19.0	13.0	8	42	8	8	42	8	8	42	8
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1413-Andreas-misho/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	13.0	7.0	13.0	8	42	8	8	42	8	8	42	8
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1413-Andreas-misho/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	13.0	11.0	13.0	8	42	8	8	42	8	8	42	8
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1413-Andreas-misho/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	13.0	16.0	13.0	8	42	8	8	42	8	8	42	8
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170330-1413-Andreas-misho/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	13.0	10.0	13.0	8	42	8	8	42	8	8	42	8
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	15.0	15.0	14.0	2	13	2	2	13	2	2	13	2
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	15.0	17.0	14.0	2	13	2	2	13	2	2	13	2
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	15.0	16.0	14.0	2	13	2	2	13	2	2	13	2
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	15.0	14.0	14.0	2	13	2	2	13	2	2	13	2
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170331-1116-kingen-Rambo/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	15.0	10.0	14.0	2	13	2	2	13	2	2	13	2
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	1	7.0	8.0	7.0	13	35	14	13	35	14	13	35	14
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	2	7.0	20.0	7.0	13	35	14	13	35	14	13	35	14
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	3	7.0	13.0	7.0	13	35	14	13	35	14	13	35	14
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	4	7.0	7.0	7.0	13	35	14	13	35	14	13	35	14
1	1	1	/home/tshore/Projects/tangrams-restricted/Ready/20170403-1010-annadenise-T/desc.properties	2	NO_FILTER	INFLECTED	NPS_WITHOUT_PPS	ALL_UTTS	5	7.0	11.0	7.0	13	35	14	13	35	14	13	35	14
